374 debt    paid    some    2
346 some    delayed none    1
345 some    paid    none    1
243 some    delayed some    1
662 debt    delayed some    2
102 none    paid    high    1
722 none    delayed some    2
316 none    paid    none    1
236 none    delayed none    2
572 debt    paid    some    1
436 none    delayed medium  2
338 none    delayed none    2
499 debt    paid    some    1
836 debt    paid    some    1
570 none    delayed none    2
473 debt    paid    some    1
89  some    delayed v.high  2
203 some    paid    medium  1
183 debt    paid    some    1
756 debt    paid    some    1
222 debt    paid    some    1
169 high    paid    some    1
289 debt    paid    some    1
589 some    delayed medium  2
267 none    delayed v.high  2
674 none    paid    some    1
514 debt    delayed some    2
445 some    paid    none    1
376 some    paid    some    1
412 some    paid    some    1
165 none    delayed some    2
268 debt    paid    some    1
724 none    delayed none    2
218 debt    paid    some    1
327 none    delayed some    2
283 high    delayed some    1
240 none    delayed none    2
189 high    delayed some    1
259 none    paid    medium  1
352 debt    paid    some    1
226 none    delayed some    2
758 debt    delayed some    2
390 none    paid    none    2
434 none    delayed none    1
619 none    delayed none    2
171 none    delayed some    1
145 debt    paid    medium  1
617 none    paid    some    1
449 debt    paid    some    1
721 none    delayed some    1
712 debt    delayed some    2
743 none    delayed none    2
109 none    paid    none    1
371 some    paid    medium  1
137 none    delayed none    2
730 some    paid    some    2
125 some    delayed some    3
77  none    paid    high    1
814 some    delayed medium  1
98  some    paid    v.high  1
305 debt    delayed some    2
675 none    paid    some    1
134 some    paid    medium  1
442 none    delayed some    3
285 none    paid    some    2
15  some    delayed some    1
198 some    delayed some    1
563 none    delayed some    1
544 some    delayed some    2
792 none    paid    high    1
86  debt    paid    some    1
474 debt    paid    some    1
658 none    paid    high    1
635 some    paid    some    1
383 some    paid    some    1
776 some    paid    some    1
460 debt    delayed some    1
67  some    delayed high    1
156 none    delayed high    2
775 debt    paid    none    1
356 debt    delayed some    2
669 high    delayed none    2
506 none    paid    high    1
511 debt    paid    none    1
27  debt    paid    none    1
440 debt    delayed some    1
452 high    paid    some    2
204 none    delayed none    2
17  some    paid    medium  1
542 some    paid    v.high  1
124 none    delayed medium  2
257 debt    delayed some    2
638 none    paid    none    2
650 none    paid    some    1
564 debt    delayed some    2
596 none    delayed some    2
707 none    delayed some    2
677 debt    paid    some    1
310 debt    paid    some    1
528 some    paid    some    1
798 none    delayed none    2
660 some    paid    some    2
844 debt    paid    some    1
729 none    paid    medium  1
242 some    paid    some    1
433 none    paid    some    2
446 debt    delayed some    2
599 some    paid    none    1
354 debt    paid    none    1
293 some    paid    medium  1
537 none    paid    none    1
591 none    delayed medium  1
358 debt    paid    none    1
60  debt    paid    some    2
280 some    delayed some    2
18  none    paid    some    1
176 none    paid    none    1
168 none    delayed none    2
694 high    delayed none    2
150 none    paid    none    1
312 some    delayed some    2
549 debt    paid    high    1
135 debt    paid    some    1
279 debt    paid    none    1
206 high    delayed none    2
823 none    delayed some    2
477 some    paid    some    1
556 none    paid    some    2
504 none    paid    none    1
202 some    paid    some    1
765 debt    paid    some    1
609 none    delayed v.high  2
265 debt    paid    some    1
246 none    paid    some    1
706 debt    paid    some    1
577 debt    paid    medium  1
540 debt    paid    v.high  1
215 none    delayed some    2
831 debt    delayed v.high  2
319 none    paid    some    1
373 debt    paid    some    1
7   none    paid    v.high  1
341 debt    delayed none    2
481 debt    paid    medium  1
670 none    paid    medium  1
824 none    delayed some    2
61  some    delayed none    3
548 high    paid    some    1
48  high    paid    some    1
768 debt    paid    high    1
311 none    paid    some    1
554 some    paid    none    1
232 none    delayed medium  2
35  debt    paid    some    1
217 some    paid    none    1
454 debt    paid    some    1
112 none    delayed none    1
584 none    paid    some    1
95  none    paid    some    1
788 debt    paid    some    1
720 none    paid    none    1
380 some    paid    some    1
683 none    delayed some    1
636 some    paid    none    1
748 debt    delayed some    2
4   none    paid    high    1
162 none    delayed some    2
508 none    delayed some    3
425 some    paid    some    1
726 none    delayed some    2
821 none    delayed none    2
154 none    paid    some    1
569 none    delayed high    2
253 some    delayed some    2
130 none    paid    medium  1
163 debt    paid    some    1
846 none    paid    some    1
11  debt    paid    some    2
719 none    paid    none    1
278 some    delayed medium  1
519 high    paid    some    1
744 debt    paid    some    1
777 none    paid    some    1
567 none    paid    high    1
524 debt    delayed some    3
34  some    delayed medium  1
525 none    delayed some    2
273 debt    paid    some    2
320 some    paid    some    1
73  some    delayed some    1
94  debt    paid    some    1
468 some    paid    some    1
616 none    delayed high    1
716 debt    paid    some    1
702 none    paid    some    1
645 some    paid    some    2
392 some    paid    some    1
258 some    delayed some    2
53  none    paid    some    1
825 debt    paid    some    1
700 some    delayed some    1
245 debt    delayed some    4
133 some    delayed some    1
718 none    paid    some    1
534 some    paid    none    1
