765 1   1   46  rent    skilled 1
668 4   4   49  owned   skilled 1
68  10+ 4   57  rent    skilled 1
805 4   2   41  owned   skilled 1
495 7   4   24  rent    skilled 1
709 10+ 4   29  rent    skilled 1
641 4   4   50  free    skilled 1
268 10+ 1   45  owned   skilled 1
652 10+ 3   50  owned   skilled 1
236 7   3   36  owned   skilled 1
180 4   2   47  owned   unskill 1
382 10+ 2   25  owned   skilled 1
43  4   3   47  owned   unskill 1
178 7   4   39  free    skilled 2
245 7   3   58  owned   unskill 1
571 4   2   23  rent    skilled 1
706 10+ 4   57  owned   unskill 1
623 7   2   35  owned   self    1
386 4   2   24  owned   skilled 1
840 4   4   50  rent    skilled 1
42  10+ 4   47  owned   skilled 2
721 4   4   41  rent    skilled 1
262 1   4   24  rent    skilled 1
806 0   4   36  free    self    1
188 7   4   45  free    skilled 2
39  4   3   31  free    skilled 1
545 4   2   44  rent    unskill 1
192 10+ 4   43  owned   self    2
309 1   4   48  owned   skilled 1
823 10+ 4   63  owned   unskill 1
82  4   3   21  rent    skilled 1
22  4   2   21  rent    skilled 1
137 10+ 3   38  owned   skilled 2
482 7   4   24  owned   skilled 1
440 10+ 4   43  rent    skilled 1
48  1   1   26  owned   skilled 1
767 4   4   28  rent    skilled 1
253 1   4   27  owned   skilled 1
769 4   2   50  owned   skilled 1
819 4   3   44  owned   skilled 1
353 10+ 2   31  owned   skilled 2
193 4   4   20  rent    skilled 1
379 4   3   24  owned   unskill 1
244 10+ 4   53  free    self    1
273 4   4   53  free    skilled 2
368 10+ 4   53  owned   skilled 1
400 4   3   31  owned   skilled 1
628 10+ 4   24  rent    skilled 1
338 10+ 2   46  owned   self    2
490 7   1   28  owned   skilled 1
590 10+ 3   46  owned   skilled 1
419 4   4   29  rent    self    1
2   4   2   33  owned   skilled 2
682 10+ 4   66  owned   self    1
431 1   3   27  rent    skilled 1
287 1   1   30  owned   self    1
538 4   4   28  owned   skilled 1
146 4   4   44  rent    self    1
672 4   4   50  owned   skilled 1
533 7   2   25  owned   skilled 1
143 1   1   37  owned   unskill 2
708 4   2   22  owned   skilled 1
301 4   3   39  owned   self    2
163 4   4   22  owned   unskill 1
176 1   4   26  rent    skilled 1
118 10+ 3   37  owned   skilled 2
622 4   2   31  owned   skilled 1
194 1   1   32  owned   unskill 1
816 1   1   32  owned   skilled 2
715 10+ 4   49  rent    skilled 1
381 1   2   24  owned   self    1
205 4   2   31  owned   skilled 1
